"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"68","C10","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.04822922,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM4"
"69","C11","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.81214523,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM4"
"70","C11","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.9052124,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM4"
"71","C12","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.36313629,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM4"
"72","C12","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.95536804,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM4"
"73","D1","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.03333473,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM5"
"74","D1","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",19.86462784,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,17,NA,"Y","N","SM5"
"75","D2","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.22731972,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM5"
"76","D2","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.38102722,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,18,NA,"Y","N","SM5"
"77","D3","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.16699409,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM5"
"78","D3","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.24948692,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,18,NA,"Y","N","SM5"
"79","E1","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.02298164,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","Y","SM5"
"80","E1","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"Y","Y","SM5"
"81","E2","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.28004265,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM5"
"82","E2","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",26.96082687,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,24,NA,"Y","N","SM5"
"83","E3","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.32907677,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM5"
"84","E3","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.1337738,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,25,NA,"Y","N","SM5"
"85","F1","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.84574509,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,29,NA,"Y","N","SM5"
