"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"75","D2","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.80973816,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM5"
"76","D2","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",17.84277725,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,15,NA,"Y","N","SM5"
"77","D3","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.98164558,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM5"
"78","D3","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",17.91001129,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,16,NA,"Y","N","SM5"
"79","E1","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",26.23488617,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,23,NA,"Y","N","SM5"
"80","E1","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.28271294,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,23,NA,"Y","N","SM5"
"81","E2","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",26.06703758,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM5"
"82","E2","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.07906914,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM5"
"83","E3","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",26.00798225,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM5"
"84","E3","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.00813484,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM5"
"85","F1","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",33.19026566,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,29,NA,"Y","N","SM5"
"86","F1","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.23828125,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,29,NA,"Y","N","SM5"
"87","F2","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",33.1216507,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,30,NA,"Y","N","SM5"
"88","F2","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.18418503,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM5"
"89","F3","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.97208405,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,28,NA,"Y","N","SM5"
"90","F3","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.04018784,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM5"
"91","D4","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.09329605,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM6"
"92","D4","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",17.94126701,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,15,NA,"Y","N","SM6"
"93","D5","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.28687859,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM6"
"94","D5","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.29565239,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM6"
"95","D6","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.04806709,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,13,NA,"Y","N","SM6"
"96","D6","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.43173599,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM6"
"97","E4","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.05669022,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM6"
"98","E4","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",24.81959152,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM6"
"99","E5","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.98645973,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,20,NA,"Y","N","SM6"
"100","E5","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",24.95054054,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,23,NA,"Y","N","SM6"
"101","E6","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.19924736,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM6"
"102","E6","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.22612381,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,23,NA,"Y","N","SM6"
"103","F4","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.65810776,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM6"
"104","F4","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",31.84514809,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,29,NA,"Y","N","SM6"
"105","F5","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.83215141,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,28,NA,"Y","N","SM6"
"106","F5","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.0599556,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM6"
"107","F6","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.86797714,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,28,NA,"Y","N","SM6"
"108","F6","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.08950424,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM6"
"109","D7","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.99599075,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM7"
"110","D7","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.16712952,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM7"
"111","D8","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.0689888,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM7"
"112","D8","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.01807213,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,15,NA,"Y","N","SM7"
"113","D9","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.89574051,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,15,NA,"Y","N","SM7"
"114","D9","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",17.74271202,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,15,NA,"Y","N","SM7"
"115","E7","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.91689873,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,20,NA,"Y","N","SM7"
"116","E7","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",24.93492317,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM7"
"117","E8","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.96808624,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM7"
"118","E8","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",24.91319084,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM7"
"119","E9","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.90259743,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM7"
"120","E9","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",24.70865822,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM7"
"121","F7","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.44408035,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM7"
"122","F7","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",31.68861008,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM7"
"123","F8","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.5486927,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM7"
"124","F8","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.04892349,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM7"
"125","F9","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.81533813,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM7"
"126","F9","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",31.28414726,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,29,NA,"Y","N","SM7"
"127","G10","Blank","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,41,NA,"Y","Y","SM7"
"128","G10","Blank","Saithe","UNKNOWN","JOE","NFQ-MGB",16.82322884,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,41,NA,"Y","Y","SM7"
"129","D10","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.93032455,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,13,NA,"Y","N","SM8"
"130","D10","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",17.51998711,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,15,NA,"Y","N","SM8"
"131","D11","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.05795097,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM8"
"132","D11","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",17.65208626,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,15,NA,"Y","N","SM8"
"133","D12","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.86436844,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","OUT"
"134","D12","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.79722977,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,16,NA,"Y","N","OUT"
"135","E10","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.02091026,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM8"
"136","E10","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",24.59153175,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM8"
"137","E11","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.0178566,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,20,NA,"Y","N","SM8"
