"","Well","Sample_name","Species","Conc","Tot_drop","Positives","Negatives","plate","pres","int_concentation","species_idx","st_idx","sp_st_idx"
"200","E04","Std-CS5","Cod",92.61701965,18889,1430,17459,"Std_CS",1,100,1,6,6
"201","E05","Std-CS5","Saithe",101.5213013,20623,1705,18918,"Std_CS",1,100,3,6,21
"202","E05","Std-CS5","Cod",103.5752945,20623,1738,18885,"Std_CS",1,100,1,6,6
"203","E06","Std-CS5","Saithe",102.0388718,19921,1655,18266,"Std_CS",1,100,3,6,21
"204","E06","Std-CS5","Cod",98.3091507,19921,1597,18324,"Std_CS",1,100,1,6,6
"205","E07","Std-CS5","Saithe",98.51291656,19757,1587,18170,"Std_CS",1,100,3,6,21
"206","E07","Std-CS5","Cod",96.83067322,19757,1561,18196,"Std_CS",1,100,1,6,6
"207","E08","Std-CS5","Saithe",93.23570251,21131,1610,19521,"Std_CS",1,100,3,6,21
"208","E08","Std-CS5","Cod",102.2499161,21131,1759,19372,"Std_CS",1,100,1,6,6
"209","E09","Std-CS10","Saithe",0,19712,0,19712,"Std_CS",0,0.001,3,1,16
"210","E09","Std-CS10","Cod",0,19712,0,19712,"Std_CS",0,0.001,1,1,1
"211","F01","Std-CS4","Saithe",1001.349182,21519,12332,9187,"Std_CS",1,1000,3,7,22
"212","F01","Std-CS4","Cod",1022.80127,21519,12498,9021,"Std_CS",1,1000,1,7,7
"213","F02","Std-CS4","Saithe",959.4500732,18838,10504,8334,"Std_CS",1,1000,3,7,22
"214","F02","Std-CS4","Cod",965.5358887,18838,10547,8291,"Std_CS",1,1000,1,7,7
"215","F03","Std-CS4","Saithe",876.6594849,21131,11101,10030,"Std_CS",1,1000,3,7,22
"216","F03","Std-CS4","Cod",884.6627197,21131,11169,9962,"Std_CS",1,1000,1,7,7
"217","F04","Std-CS4","Saithe",971.5714722,18807,10572,8235,"Std_CS",1,1000,3,7,22
"218","F04","Std-CS4","Cod",997.4258423,18807,10751,8056,"Std_CS",1,1000,1,7,7
"219","F05","Std-CS4","Saithe",1005.683167,19988,11486,8502,"Std_CS",1,1000,3,7,22
"220","F05","Std-CS4","Cod",1001.263428,19988,11454,8534,"Std_CS",1,1000,1,7,7
"221","F06","Std-CS4","Saithe",1004.316895,20101,11541,8560,"Std_CS",1,1000,3,7,22
"222","F06","Std-CS4","Cod",1013.977112,20101,11611,8490,"Std_CS",1,1000,1,7,7
"223","F07","Std-CS4","Saithe",956.3154907,18594,10346,8248,"Std_CS",1,1000,3,7,22
"224","F07","Std-CS4","Cod",995.324585,18594,10615,7979,"Std_CS",1,1000,1,7,7
"225","F08","Std-CS4","Saithe",946.3312988,20129,11124,9005,"Std_CS",1,1000,3,7,22
"226","F08","Std-CS4","Cod",977.0385132,20129,11356,8773,"Std_CS",1,1000,1,7,7
"227","F09","Std-CS10","Saithe",0,20935,0,20935,"Std_CS",0,0.001,3,1,16
"228","F09","Std-CS10","Cod",0,20935,0,20935,"Std_CS",0,0.001,1,1,1
